"",BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.L,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.L_FLAGS
"",Index of producer prices of industrial products sold on the domestic market / Germany / Calendar and seasonally adjusted / Total,
Conversion english,Average,
Decimals,1,
Source (in english),Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,
Time format code,P1M,
unit,2015=100,
unit multiplier,One,
last update,2021-12-17 08:07:58,
1976-01,50.0,
1976-02,50.1,
1976-03,50.3,
1976-04,50.6,
1976-05,50.8,
1976-06,51.1,
1976-07,51.5,
1976-08,51.6,
1976-09,51.7,
1976-10,51.8,
1976-11,51.8,
1976-12,51.9,
1977-01,51.8,
1977-02,52.0,
1977-03,52.2,
1977-04,52.5,
1977-05,52.5,
1977-06,52.6,
1977-07,52.6,
1977-08,52.6,
1977-09,52.8,
1977-10,52.8,
1977-11,52.9,
1977-12,52.9,
1978-01,52.7,
1978-02,52.7,
1978-03,52.6,
1978-04,52.6,
1978-05,53.1,
1978-06,53.0,
1978-07,53.1,
1978-08,53.1,
1978-09,53.3,
1978-10,53.4,
1978-11,53.6,
1978-12,53.9,
1979-01,53.8,
1979-02,54.0,
1979-03,54.7,
1979-04,54.8,
1979-05,55.3,
1979-06,55.4,
1979-07,55.8,
1979-08,56.0,
1979-09,56.4,
1979-10,56.7,
1979-11,56.9,
1979-12,57.5,
1980-01,57.8,
1980-02,58.4,
1980-03,58.7,
1980-04,59.5,
1980-05,59.8,
1980-06,59.9,
1980-07,60.0,
1980-08,60.0,
1980-09,60.2,
1980-10,60.7,
1980-11,61.1,
1980-12,61.5,
1981-01,61.9,
1981-02,62.5,
1981-03,62.9,
1981-04,63.4,
1981-05,63.9,
1981-06,64.1,
1981-07,65.0,
1981-08,65.4,
1981-09,65.7,
1981-10,66.1,
1981-11,66.5,
1981-12,66.6,
1982-01,67.3,
1982-02,67.3,
1982-03,67.5,
1982-04,67.7,
1982-05,68.0,
1982-06,68.2,
1982-07,68.5,
1982-08,68.6,
1982-09,68.6,
1982-10,69.0,
1982-11,69.1,
1982-12,69.0,
1983-01,68.8,
1983-02,68.7,
1983-03,68.6,
1983-04,68.7,
1983-05,68.8,
1983-06,69.0,
1983-07,69.1,
1983-08,69.6,
1983-09,69.7,
1983-10,69.8,
1983-11,70.1,
1983-12,70.4,
1984-01,70.5,
1984-02,70.6,
1984-03,70.8,
1984-04,70.9,
1984-05,70.9,
1984-06,71.1,
1984-07,71.3,
1984-08,71.3,
1984-09,71.6,
1984-10,72.0,
1984-11,72.1,
1984-12,72.1,
1985-01,72.6,
1985-02,72.8,
1985-03,72.9,
1985-04,73.0,
1985-05,73.1,
1985-06,73.1,
1985-07,73.2,
1985-08,73.1,
1985-09,73.2,
1985-10,73.1,
1985-11,73.1,
1985-12,72.9,
1986-01,72.8,
1986-02,72.5,
1986-03,72.3,
1986-04,71.6,
1986-05,71.3,
1986-06,71.3,
1986-07,71.0,
1986-08,70.8,
1986-09,70.8,
1986-10,69.8,
1986-11,69.8,
1986-12,69.7,
1987-01,69.6,
1987-02,69.3,
1987-03,69.4,
1987-04,69.0,
1987-05,69.1,
1987-06,69.3,
1987-07,69.5,
1987-08,69.6,
1987-09,69.5,
1987-10,69.7,
1987-11,69.8,
1987-12,69.9,
1988-01,69.7,
1988-02,69.7,
1988-03,69.8,
1988-04,69.9,
1988-05,70.0,
1988-06,70.4,
1988-07,70.4,
1988-08,70.4,
1988-09,70.5,
1988-10,70.6,
1988-11,70.7,
1988-12,71.1,
1989-01,71.7,
1989-02,71.9,
1989-03,72.1,
1989-04,72.4,
1989-05,72.4,
1989-06,72.5,
1989-07,72.6,
1989-08,72.7,
1989-09,72.7,
1989-10,73.1,
